"taxon","class","guild","max_length","presence","mobility","side","limit","method","lat1","lon1","site1","temp1","total1","lat2","lon2","site2","temp2","total2","lat","dLon","dTemp","pop_trend","ecoregion","dSST","i.ecoregion","i.dSST"
"Stethojulis interrupta","Actinopterygii","tropical",13,"common","Demersal","west","southern","abundance weighted quantiles",-22.8690500000006,113.764430000003,"NMP-S1",24.8296716826265,6.45833333333333,-26.14294,113.16653,"WA60",23.0670451436389,8.16666666666667,-22.8690500000006,-0.597900000003094,-1.7626265389876,0.234689542311271,"Ningaloo",-0.395919377448902,"Ningaloo",-0.395919377448902
"Thalassoma septemfasciatum","Actinopterygii","temperate",31,"common","Demersal","west","northern","abundance weighted quantiles",-23.0447300000007,113.818430000004,"NMP20",25.2579206566347,1,-26.1217100000001,113.182669999999,"WA62",23.0670451436389,2.5,-23.0447300000007,-0.635760000004467,-2.1908755129958,0.916290731874155,"Ningaloo",-0.380263332336568,"Ningaloo",-0.380263332336568
"Acanthurus grammoptilus","Actinopterygii","tropical",35,"common","Demersal","west","southern","abundance weighted quantiles",-23.0447300000007,113.818430000004,"NMP20",24.8784165526675,7.47228571428571,-22.8690500000006,113.764430000003,"NMP-S1",24.4910601915185,3.08242630385488,-23.0447300000007,-0.0540000000010252,-0.387356361149049,-0.885483890332266,"Ningaloo",-0.380263332336568,"Ningaloo",-0.380263332336568
"Carangoides fulvoguttatus","Actinopterygii","tropical",120,"rare","pelagic non-site attached","west","southern","abundance weighted quantiles",-23.0447300000007,113.818430000004,"NMP20",24.4989124487004,1.91666666666667,-22.9287499999993,113.779370000002,"NMP-S2",24.3847332421341,4,-23.0447300000007,-0.0390600000014416,-0.114179206566302,0.735706794978741,"Ningaloo",-0.380263332336568,"Ningaloo",-0.380263332336568
"Mulloidichthys vanicolensis","Actinopterygii","tropical",38,"rare","Demersal","west","southern","abundance weighted quantiles",-23.0919700000007,113.73966,"NMP19",24.9949794801642,8.5,-21.67022,114.352509999999,"NWS159",25.2371135430917,25,-23.0919700000007,0.612849999998829,0.242134062927548,1.07880966137193,"Ningaloo",-0.295256524526291,"Ningaloo",-0.295256524526291
"Plectroglyphidodon dickii","Actinopterygii","tropical",11,"common","Demersal","west","southern","abundance weighted quantiles",-23.0919700000007,113.73966,"NMP19",24.2767031463748,4.17619047619048,-17.5789999999999,118.968719999999,"NWS53",28.0467715458276,6.85294117647059,-23.0919700000007,5.22905999999934,3.7700683994528,0.495278467294825,"Ningaloo",-0.295256524526291,"Ningaloo",-0.295256524526291
"Chaetodon assarius","Actinopterygii","tropical",13,"common","Demersal","both","northern","abundance weighted quantiles",-23.0980000000003,113.794290000001,"NMP28",24.7089740082079,1.65,-23.0919700000007,113.73966,"NMP19",24.3822663018696,6.89166666666667,-23.0980000000003,-0.0546300000016089,-0.326707706338333,1.42953766432916,"Ningaloo",-0.355403669939854,"Ningaloo",-0.355403669939854
"Linckia guildingi","Asteroidea","tropical",32,"rare","benthic","west","southern","abundance weighted quantiles",-23.0980000000003,113.794290000001,"NMP28",24.7089740082079,1,-23.2175000000002,113.754659999999,"NMP26",24.3141997264022,1,-23.0980000000003,-0.0396300000023473,-0.394774281805699,0,"Ningaloo",-0.355403669939854,"Ningaloo",-0.355403669939854
"Parupeneus multifasciatus","Actinopterygii","tropical",35,"common","Demersal","west","southern","abundance weighted quantiles",-23.0980000000003,113.794290000001,"NMP28",24.7089740082079,1.625,-17.2530200000001,119.36037,"NWS89",28.1943775649795,1.41666666666667,-23.0980000000003,5.56607999999865,3.4854035567716,-0.137201121513485,"Ningaloo",-0.355403669939854,"Ningaloo",-0.355403669939854
"Cephalopholis miniata","Actinopterygii","tropical",45,"rare","Demersal","west","southern","abundance weighted quantiles",-23.1123399999997,113.750419999997,"NMP1",24.6837209302326,1.33333333333333,-28.47336,113.77563,"WA54",22.4014500683995,1.5,-23.1123399999997,0.0252100000028577,-2.2822708618331,0.117783035656383,"Ningaloo",-0.47175344124382,"Ningaloo",-0.47175344124382
"Chaetodon kleinii","Actinopterygii","tropical",15,"common","Demersal","west","southern","abundance weighted quantiles",-23.1123399999997,113.750419999997,"NMP1",24.6837209302326,2.22222222222222,-14.1327000000001,121.942179999999,"NWS28",28.8485909712722,3,-23.1123399999997,8.19176000000158,4.1648700410396,0.300104592450338,"Ningaloo",-0.47175344124382,"Ningaloo",-0.47175344124382
"Exyrias belissimus","Actinopterygii","tropical",15,"rare","benthic","west","southern","abundance weighted quantiles",-23.14221,113.767090000001,"NMP21",24.6816621067032,4.5,-23.14221,113.767090000001,"NMP21",24.2265800273598,2.5,-23.14221,0,-0.455082079343349,-0.587786664902119,"Ningaloo",-0.45512181616828,"Ningaloo",-0.45512181616828
"Halichoeres nebulosus","Actinopterygii","tropical",12,"common","Demersal","west","southern","abundance weighted quantiles",-23.14221,113.767090000001,"NMP21",24.6829138166895,12.8963718820862,-23.19459,113.752090000001,"NMP25",24.3515868673051,9.40892857142857,-23.14221,-0.0149999999996595,-0.331326949384398,-0.315286935878807,"Ningaloo",-0.45512181616828,"Ningaloo",-0.45512181616828
"Istigobius decoratus","Actinopterygii","tropical",13,"common","benthic","west","southern","abundance weighted quantiles",-23.14221,113.767090000001,"NMP21",24.6804103967168,2.66666666666667,-23.1999500000002,113.763540000007,"NMP-C4",24.2892749658003,2.28240740740741,-23.14221,-0.0035499999940356,-0.391135430916535,-0.155598486653201,"Ningaloo",-0.45512181616828,"Ningaloo",-0.45512181616828
"Stegastes punctatus","Actinopterygii","tropical",12.7541666666667,"rare","Demersal","west","southern","abundance weighted quantiles",-23.14221,113.767090000001,"NMP21",24.6804103967168,19.5357142857143,-23.3192500000003,113.780700000002,"NMP-P2",24.235512995896,9.04848484848485,-23.14221,0.0136100000017336,-0.4448974008208,-0.769646968608168,"Ningaloo",-0.45512181616828,"Ningaloo",-0.45512181616828
"Canthigaster valentini","Actinopterygii","tropical",11,"common","Demersal","west","southern","abundance weighted quantiles",-23.1770099999996,113.759870000001,"NMP-C1",24.6528317373461,1.27777777777778,-23.2061500000002,113.760290000001,"NMP31",24.1312311901505,1.27380952380952,-23.1770099999996,0.00041999999957909,-0.5216005471956,-0.00311042241439239,"Ningaloo",-0.620669978827259,"Ningaloo",-0.620669978827259
"Cheilodipterus macrodon","Actinopterygii","tropical",25,"common","pelagic site attached","west","southern","abundance weighted quantiles",-23.1770099999996,113.759870000001,"NMP-C1",24.6528317373461,2.3,-23.2061500000002,113.760290000001,"NMP31",24.1312311901505,1.93333333333333,-23.1770099999996,0.00041999999957909,-0.5216005471956,-0.17366349405084,"Ningaloo",-0.620669978827259,"Ningaloo",-0.620669978827259
"Halichoeres marginatus","Actinopterygii","tropical",18,"common","Demersal","west","southern","abundance weighted quantiles",-23.1770099999996,113.759870000001,"NMP-C1",24.9818467852257,2.07,-23.19459,113.752090000001,"NMP25",24.3515868673051,1.31714285714286,-23.1770099999996,-0.0077800000001389,-0.630259917920622,-0.452083718764088,"Ningaloo",-0.620669978827259,"Ningaloo",-0.620669978827259
"Acanthurus dussumieri","Actinopterygii","tropical",54,"common","Demersal","west","southern","abundance weighted quantiles",-23.1798899999997,113.761689999999,"NMP13",24.6501367989056,5.66666666666667,-23.3192500000003,113.780700000002,"NMP-P2",24.1320109439124,2.19607843137255,-23.1798899999997,0.0190100000030071,-0.518125854993151,-0.947927816817338,"Ningaloo",-0.241896367332441,"Ningaloo",-0.241896367332441
"Gomphosus varius","Actinopterygii","tropical",30,"common","Demersal","west","southern","abundance weighted quantiles",-23.1798899999997,113.761689999999,"NMP13",24.6501367989056,2.29331501831502,-21.8392099999993,114.175640000001,"NMP-BF1",25.0230095759234,1.66666666666667,-23.1798899999997,0.413950000001691,0.3728727770178,-0.319172753279415,"Ningaloo",-0.241896367332441,"Ningaloo",-0.241896367332441
"Paraplotosus butleri","Actinopterygii","tropical",32.5,"rare","Demersal","west","southern","abundance weighted quantiles",-23.1798899999997,113.761689999999,"NMP13",24.1998358413133,1.36111111111111,-23.2131300000001,113.762959999996,"NMP10",24.3080437756498,1.22619047619048,-23.1798899999997,0.00126999999640987,0.108207934336502,-0.104389170268194,"Ningaloo",-0.241896367332441,"Ningaloo",-0.241896367332441
"Pomacentrus coelestis","Actinopterygii","tropical",9,"common","Demersal","west","southern","abundance weighted quantiles",-23.1798899999997,113.761689999999,"NMP13",24.5000364797082,56.3033882783883,-23.19459,113.752090000001,"NMP25",24.3515868673051,63.93721001221,-23.1798899999997,-0.00959999999838601,-0.148449612403059,0.127146792313784,"Ningaloo",-0.241896367332441,"Ningaloo",-0.241896367332441
"Taeniura lymma","Elasmobranchii","tropical",35,"rare","benthic","west","southern","abundance weighted quantiles",-23.1798899999997,113.761689999999,"NMP13",24.4249863201094,1.125,-23.3192500000003,113.780700000002,"NMP-P2",24.235512995896,1,-23.1798899999997,0.0190100000030071,-0.189473324213449,-0.117783035656384,"Ningaloo",-0.241896367332441,"Ningaloo",-0.241896367332441
"Atrosalarias holomelas","Actinopterygii","tropical",10,"common","benthic","west","southern","abundance weighted quantiles",-23.1999500000002,113.763540000007,"NMP-C4",24.6504787961696,2.54509803921569,-23.3192500000003,113.780700000002,"NMP-P2",24.1908946648427,2.60294117647059,-23.1999500000002,0.0171599999957692,-0.459584131326942,0.0224728558520588,"Ningaloo",-0.607485157289922,"Ningaloo",-0.607485157289922
