"site_code","year","mean_sst"
"SYD32",2017,20.833095890411
"SYD32",2018,20.0844109589041
"SYD32",2019,20.6983835616438
"SYD32",2020,20.0364480874317
"SYD32",2021,20.375205479452
"SYD32",2022,20.8570684931507
"TAS79",2008,13.7620491803279
"TAS79",2009,13.7576438356164
"TAS79",2010,14.2672328767123
"TAS79",2011,13.7815890410959
"TAS79",2012,14.0832240437158
"TAS79",2013,14.1356438356164
"TAS79",2014,14.0856438356164
"TAS79",2015,13.7233698630137
"TAS79",2016,14.6485245901639
"TAS79",2017,14.6612328767123
"TAS79",2018,14.5892054794521
"TAS79",2019,14.3123287671233
"TAS79",2020,14.0330054644809
"TAS79",2021,14.3083287671233
"TAS79",2022,14.4267945205479
"TAS105",2008,14.1293989071038
"TAS105",2009,14.1895068493151
"TAS105",2010,14.6593150684931
"TAS105",2011,14.1646575342466
"TAS105",2012,14.5428961748634
"TAS105",2013,14.630904109589
"TAS105",2014,14.596602739726
"TAS105",2015,14.4660821917808
"TAS105",2016,15.120218579235
"TAS105",2017,14.7947671232877
"TAS105",2018,14.9804657534247
"TAS105",2019,14.4024931506849
"TAS105",2020,14.3320491803279
"TAS105",2021,14.8993424657534
"TAS105",2022,14.932904109589
"TAS109",2008,14.0740710382514
"TAS109",2009,14.1234520547945
"TAS109",2010,14.6143287671233
"TAS109",2011,14.1038082191781
"TAS109",2012,14.4810928961749
"TAS109",2013,14.5676438356165
"TAS109",2014,14.5268493150685
"TAS109",2015,14.3852602739726
"TAS109",2016,15.0650819672131
"TAS109",2017,14.7396438356164
"TAS109",2018,14.8876164383562
"TAS109",2019,14.3324109589041
"TAS109",2020,14.2512295081967
"TAS109",2021,14.8287671232877
"TAS109",2022,14.8693698630137
"LHI50",2008,21.3527868852459
"LHI50",2009,21.8287123287671
"LHI50",2010,22.1795616438356
"LHI50",2011,21.8304657534247
"LHI50",2012,21.1541530054645
"LHI50",2013,21.5349863013698
"LHI50",2014,21.834301369863
"LHI50",2015,21.8904109589041
"LHI50",2016,21.9865573770492
"LHI50",2017,21.6866301369863
"LHI50",2018,21.6041095890411
"LHI50",2019,21.9474794520548
"LHI50",2020,22.0524316939891
"LHI50",2021,21.4363561643836
"LHI50",2022,21.0194520547945
"TAS58",2008,14.0836612021858
"TAS58",2009,14.114
"TAS58",2010,14.5759178082192
"TAS58",2011,14.0684931506849
"TAS58",2012,14.4681420765027
"TAS58",2013,14.5751506849315
"TAS58",2014,14.5084109589041
"TAS58",2015,14.2780547945206
"TAS58",2016,15.0079234972678
"TAS58",2017,14.7366575342466
"TAS58",2018,14.9114794520548
"TAS58",2019,14.3994246575342
"TAS58",2020,14.2315573770492
"TAS58",2021,14.7427945205479
"TAS58",2022,14.7653698630137
"PPB50",2008,15.7134426229508
"PPB50",2009,15.9529863013699
"PPB50",2010,16.2170136986301
"PPB50",2011,15.9157534246575
"PPB50",2012,15.8929781420765
"PPB50",2013,16.0609863013699
"PPB50",2014,16.2941095890411
"PPB50",2015,15.8131780821918
"PPB50",2016,16.1360655737705
"PPB50",2017,16.5351232876712
"PPB50",2018,16.3152602739726
"PPB50",2019,16.2250684931507
"PPB50",2020,15.8631693989071
"PPB50",2021,15.8185205479452
"PPB50",2022,16.2293424657534
"PPB26",2008,15.720956284153
"PPB26",2009,15.9163561643836
"PPB26",2010,16.2158904109589
"PPB26",2011,15.9102191780822
"PPB26",2012,15.8945901639344
"PPB26",2013,16.092602739726
"PPB26",2014,16.271397260274
"PPB26",2015,15.8125205479452
"PPB26",2016,16.0823224043716
"PPB26",2017,16.4519452054794
"PPB26",2018,16.2747671232877
"PPB26",2019,16.0823287671233
"PPB26",2020,15.7541803278689
"PPB26",2021,15.7558630136986
"PPB26",2022,16.1397808219178
"PPB12",2008,15.7124043715847
"PPB12",2009,15.9039452054795
"PPB12",2010,16.1732328767123
"PPB12",2011,15.8981369863014
"PPB12",2012,15.8728415300546
"PPB12",2013,16.0555342465753
"PPB12",2014,16.3006849315069
"PPB12",2015,15.7992328767123
"PPB12",2016,16.1291803278688
"PPB12",2017,16.4189315068493
"PPB12",2018,16.2243287671233
"PPB12",2019,16.1219178082192
"PPB12",2020,15.8203551912568
"PPB12",2021,15.7487397260274
"PPB12",2022,16.1015342465753
"PPB49",2008,15.7134426229508
"PPB49",2009,15.9529863013699
"PPB49",2010,16.2170136986301
"PPB49",2011,15.9157534246575
"PPB49",2012,15.8929781420765
"PPB49",2013,16.0609863013699
"PPB49",2014,16.2941095890411
"PPB49",2015,15.8131780821918
"PPB49",2016,16.1360655737705
"PPB49",2017,16.5351232876712
"PPB49",2018,16.3152602739726
"PPB49",2019,16.2250684931507
"PPB49",2020,15.8631693989071
"PPB49",2021,15.8185205479452
"PPB49",2022,16.2293424657534
"BMP25",2008,18.227131147541
"BMP25",2009,18.673095890411
"BMP25",2010,19.2202465753425
"BMP25",2011,19.0657534246575
"BMP25",2012,18.0493989071038
"BMP25",2013,19.092602739726
"BMP25",2014,19.4706575342466
"BMP25",2015,19.5120547945206
"BMP25",2016,19.5814480874317
"BMP25",2017,19.3054520547945
"BMP25",2018,18.8760273972603
"BMP25",2019,19.453095890411
"BMP25",2020,18.9669398907104
"BMP25",2021,18.9613150684932
"BMP25",2022,19.3690410958904
"SYD9",2008,19.760956284153
"SYD9",2009,20.1679452054794
"SYD9",2010,20.3794520547945
"SYD9",2011,20.3905753424658
"SYD9",2012,20.0446994535519
"SYD9",2013,20.7273698630137
"SYD9",2014,20.4347123287671
"SYD9",2015,20.6141917808219
"SYD9",2016,20.9984972677595
"SYD9",2017,20.8784383561644
"SYD9",2018,20.1007123287671
"SYD9",2019,20.7296164383562
"SYD9",2020,20.0524590163934
"SYD9",2021,20.4049315068493
"SYD9",2022,20.8909589041096
"PPH-S17",2008,15.7022677595628
"PPH-S17",2009,15.8730136986301
"PPH-S17",2010,16.154794520548
"PPH-S17",2011,15.8360273972603
"PPH-S17",2012,15.8503825136612
"PPH-S17",2013,16.1217260273973
"PPH-S17",2014,16.1961369863014
"PPH-S17",2015,15.7580547945205
"PPH-S17",2016,15.945
"PPH-S17",2017,16.3228493150685
"PPH-S17",2018,16.231095890411
"PPH-S17",2019,15.9862465753425
"PPH-S17",2020,15.5774863387978
"PPH-S17",2021,15.7084657534247
"PPH-S17",2022,15.9049863013698
"PPH-S8",2008,15.6932786885246
"PPH-S8",2009,15.8498082191781
"PPH-S8",2010,16.139095890411
"PPH-S8",2011,15.8254794520548
"PPH-S8",2012,15.8361475409836
"PPH-S8",2013,16.1080547945205
"PPH-S8",2014,16.1884657534247
"PPH-S8",2015,15.7426849315068
"PPH-S8",2016,15.9410109289617
"PPH-S8",2017,16.2665479452055
"PPH-S8",2018,16.2121095890411
"PPH-S8",2019,15.9657808219178
"PPH-S8",2020,15.5494535519125
"PPH-S8",2021,15.6892876712329
"PPH-S8",2022,15.8581369863014
"PPH-S2",2008,15.6932786885246
"PPH-S2",2009,15.8498082191781
"PPH-S2",2010,16.139095890411
"PPH-S2",2011,15.8254794520548
"PPH-S2",2012,15.8361475409836
"PPH-S2",2013,16.1080547945205
"PPH-S2",2014,16.1884657534247
"PPH-S2",2015,15.7426849315068
"PPH-S2",2016,15.9410109289617
"PPH-S2",2017,16.2665479452055
"PPH-S2",2018,16.2121095890411
"PPH-S2",2019,15.9657808219178
"PPH-S2",2020,15.5494535519125
"PPH-S2",2021,15.6892876712329
"PPH-S2",2022,15.8581369863014
"PPH18",2008,15.7022677595628
"PPH18",2009,15.8512054794521
"PPH18",2010,16.15
"PPH18",2011,15.8374794520548
"PPH18",2012,15.849043715847
"PPH18",2013,16.1028493150685
"PPH18",2014,16.2075890410959
"PPH18",2015,15.7533150684931
"PPH18",2016,15.978606557377
"PPH18",2017,16.2834520547945
"PPH18",2018,16.216794520548
"PPH18",2019,15.9811232876712
"PPH18",2020,15.586912568306
"PPH18",2021,15.6901095890411
"PPH18",2022,15.9008493150685
"PPB51",2008,15.7372950819672
"PPB51",2009,15.9588767123288
"PPB51",2010,16.2339178082192
"PPB51",2011,15.9209589041096
