"taxon","family","class","guild","limit","side","lat1","lat2","dLat","lon1","lon2","dLon","site1","site2","N_site","temp1","temp2","dTemp","total_log1","total_log2","pop_trend","presence","range","trophic_level","trophic_group","max_length","water_column","habitat","max_depth","therm_max","therm_mid","sgi","region","latitude","longitude","dSST"
"Chlorurus sordidus","Scaridae","Actinopterygii","tropical","southern","west",-23.2174999999998,-23.2174999999998,0,113.754660000002,113.754660000002,0,"NMP26","NMP26",451,24.6127359781122,24.3141997264022,-0.298536251710001,9.7340771925593,9.98369068133269,0.249613488773383,"common",4161,2,"Herbivore",40,"Demersal","coral",50,31.17,25.6175,28.369371,"SW",-23.2175,113.75466,-0.286478885873802
"Chlorurus sordidus","Scaridae","Actinopterygii","tropical","southern","east",-31.5237899999994,-31.5297900000003,-0.00600000000088841,159.039129999997,159.05013,0.0110000000036052,"LHI1","LHI50",451,21.548431372549,21.845121751026,0.296690378476928,8.99328232810159,8.81520706218909,-0.178075265912502,"common",4161,2,"Herbivore",40,"Demersal","coral",50,31.17,25.6175,28.369371,"SE",-31.52379,159.03913,-2.8797870459659
"Chlorurus sordidus","Scaridae","Actinopterygii","tropical","northern","both",-10.4469700000004,-10.4453300000001,0.00164000000026299,144.433469999998,144.449179999998,0.0157099999999275,"CS189","CS185",451,27.0551162790698,27.5663498086798,0.511233529610003,7.18001665365257,7.30991827822652,0.129901624573944,"common",4161,2,"Herbivore",40,"Demersal","coral",50,31.17,25.6175,28.369371,"N",-10.44697,144.43347,0.8430576339737
"Choerodon cyanodus","Labridae","Actinopterygii","tropical","southern","east",-23.1980100000001,-23.5341000000003,-0.33609000000029,150.96855,151.749679999998,0.781129999997347,"GBR252","GBR244",62,24.2310123119015,24.6126675786594,0.3816552667579,2.09861228866811,3.83321334405622,1.73460105538811,"rare",1352,3.6,"Benthic invertivore",70,"Demersal","coral",NA,31.772,27.226,24.7347479,"N",-23.19801,150.96855,-0.0075239398085003
"Choerodon cyanodus","Labridae","Actinopterygii","tropical","southern","west",-21.8363299999988,-21.852449999999,-0.0161200000001855,114.177770000004,114.16954,-0.0082300000041613,"NMP-BF4","NMP-BF2",62,25.4879671682627,25.6567400820794,0.168772913816703,6.66296048013595,6.53733426701854,-0.12562621311741,"rare",1352,3.6,"Benthic invertivore",70,"Demersal","coral",NA,31.772,27.226,24.7347479,"SW",-21.83633,114.17777,-0.168325708476296
"Choerodon cyanodus","Labridae","Actinopterygii","tropical","northern","both",-10.49928,-10.5227400000002,-0.0234600000001599,141.228069999999,143.09259,1.86452000000082,"GC17","TS4",62,27.6160191518468,27.7966210670315,0.180601915184699,3.70805020110221,3.63905732961526,-0.0689928714869517,"rare",1352,3.6,"Benthic invertivore",70,"Demersal","coral",NA,31.772,27.226,24.7347479,"N",-10.49928,141.22807,0.456217269878401
"Choerodon fasciatus","Labridae","Actinopterygii","tropical","northern","both",-10.0668699999999,-10.1441400000001,-0.0772700000001976,143.869690000003,144.576260000001,0.706569999998266,"TS12","CS211",81,26.9724487004104,27.6034610123119,0.6310123119015,3.19722457733622,2.79175946922805,-0.405465108108165,"common",967,3.4,"Benthic invertivore",30,"Demersal","coral",35,30.402,26.7604,14.287098,"N",-10.06687,143.86969,0.315512995896
"Choerodon fasciatus","Labridae","Actinopterygii","tropical","southern","east",-23.53652,-23.8992899999998,-0.362769999999873,151.757310000001,152.393609999999,0.636299999998499,"GBR243","GBR3",81,24.4734199726402,24.9078659370725,0.4344459644323,4.73766961828337,4.52636052461616,-0.211309093667206,"common",967,3.4,"Benthic invertivore",30,"Demersal","coral",35,30.402,26.7604,14.287098,"N",-23.53652,151.75731,-0.0317647058823027
"Choerodon fasciatus","Labridae","Actinopterygii","tropical","southern","west",-17.5199100000002,-17.5185099999999,0.00140000000029517,146.500979999998,146.503360000001,0.0023800000030576,"GBR31","GBR30",81,26.5748153214774,26.7256307692308,0.150815447753402,5.86753445045558,5.33073334028633,-0.536801110169251,"common",967,3.4,"Benthic invertivore",30,"Demersal","coral",35,30.402,26.7604,14.287098,"N",-17.51991,146.50098,0.150815447753402
"Choerodon graphicus","Labridae","Actinopterygii","tropical","southern","west",-18.0361300000001,-17.2166200000001,0.819510000000044,146.20003,146.089180000001,-0.110849999999004,"GBR187","GBR194",30,26.2860328317373,26.5111111111111,0.225078279373797,2.09861228866811,1.69314718055995,-0.405465108108165,"rare",810,3.5,"Benthic invertivore",51.5,"Demersal","coral",NA,30.1822,25.2567,7.4824972,"N",-18.03613,146.20003,-0.0899179206566032
